subject,run,event_index,latency_samples,event_time_sec,event_type,memory_cond,task_role,letter,qc_status,qc_start_sec,qc_end_sec
sub-004,1,61,33931.02803155,135.720112,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",83.0,NORMAL,130.0,140.0
sub-004,1,62,34291.4762784,137.161905,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [105]
 [103]
 [110]
 [111]
 [114]
 [101]]",89.0,NORMAL,130.0,140.0
sub-004,1,63,34651.924525275004,138.603698,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",86.0,NORMAL,130.0,140.0
sub-004,1,64,35012.122773350005,140.044491,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [114]
 [101]
 [109]
 [101]
 [109]
 [ 98]
 [101]
 [114]]",78.0,NORMAL,140.0,150.0
sub-004,1,65,35372.546020350004,141.486184,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[116]
 [111]
 [ 95]
 [105]
 [103]
 [110]
 [111]
 [114]
 [101]]",72.0,NORMAL,140.0,150.0
sub-004,1,66,35733.0192671,142.928077,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [100]
 [ 97]
 [115]
 [104]]",53.0,"[[119]
 [111]
 [114]
 [107]
 [ 95]
 [109]
 [101]
 [109]
 [111]
 [114]
 [121]]",45.0,NORMAL,140.0,150.0
sub-004,1,67,36332.166352975,145.324665,"[[115]
 [104]
 [111]
 [119]
 [ 95]
 [108]
 [101]
 [116]
 [116]
 [101]
 [114]]",53.0,"[[112]
 [114]
 [111]
 [ 98]
 [101]
 [ 95]
 [110]
 [111]
 [116]
 [ 95]
 [115]
 [104]
 [111]
 [119]
 [110]]",81.0,NORMAL,140.0,150.0
sub-004,1,68,36720.014466575,146.876058,"[[108]
 [101]
 [102]
 [116]
 [ 95]
 [ 99]
 [108]
 [105]
 [ 99]
 [107]]",53.0,"[[105]
 [103]
 [110]
 [111]
 [114]
 [101]
 [100]
 [ 95]
 [ 99]
 [111]
 [114]
 [114]
 [101]
 [ 99]
 [116]]","[[110]
 [ 47]
 [ 97]]",NORMAL,140.0,150.0
sub-004,1,69,36820.06397995,147.276256,"[[115]
 [111]
 [117]
 [110]
 [100]
 [ 95]
 [ 98]
 [101]
 [101]
 [112]]",53.0,"[[102]
 [101]
 [101]
 [100]
 [ 98]
 [ 97]
 [ 99]
 [107]
 [ 95]
 [ 99]
 [111]
 [114]
 [114]
 [101]
 [ 99]
 [116]]","[[110]
 [ 47]
 [ 97]]",NORMAL,140.0,150.0
sub-004,1,70,37168.21228665,148.668849,"[[114]
 [105]
 [103]
 [104]
 [116]
 [ 95]
 [ 99]
 [108]
 [105]
 [ 99]
 [107]]",53.0,"[[105]
 [110]
 [100]
 [105]
 [ 99]
 [ 97]
 [116]
 [101]
 [ 95]
 [114]
 [101]
 [ 97]
 [100]
 [121]]","[[110]
 [ 47]
 [ 97]]",NORMAL,140.0,150.0
