target,feature,n_subjects,mean_subject_effect,median_subject_effect,std_subject_effect,q25_subject_effect,q75_subject_effect,positive_subjects,negative_subjects,zero_subjects,positive_fraction,negative_fraction,median_direction,direction_consistency
remember,theta_alpha_ratio,22,0.021019129387266175,0.0070028877095921205,0.08950207803663965,-0.02663963557653959,0.08252050147257481,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,gamma_frontal,22,-0.0017939118238379523,0.0025361595432170647,0.029561758344443353,-0.006654372440309373,0.016134245004482177,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,delta_central,22,-0.04330136294338167,-6.47085458017152e-05,0.3074248706088558,-0.03804695960343141,0.09321313841226447,10,12,0,0.45454545454545453,0.5454545454545454,negative,unstable
remember,theta_central,22,-0.040699999065835865,0.008968404841242783,0.21713478514501888,-0.023801180880306416,0.047220775317557195,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,alpha_central,22,-0.03963785872665713,-1.0283077202479933e-05,0.20695895727578661,-0.11770378545170024,0.07271565836089644,10,12,0,0.45454545454545453,0.5454545454545454,negative,unstable
remember,beta_parietal,22,0.0010234099219855704,0.0011287038717051612,0.025388093951831055,-0.0020402339210445833,0.013323191005098864,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,delta_occipital,22,0.2730592534396221,0.10649146169584,2.117051647330751,-0.3684105060546763,0.3466306268204875,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,theta_temporal,22,-0.040382366441861,0.0018253621337535053,0.19782772713081204,-0.04131564418518366,0.06750520389334208,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,theta_alpha_parietal_ratio,22,0.031661147566550044,-0.020501036069473733,0.15012547950253055,-0.05194440397943678,0.07468592251999343,10,12,0,0.45454545454545453,0.5454545454545454,negative,unstable
remember,alpha_beta_occipital_ratio,22,-0.13547386388980096,0.0185793361157649,1.0423659194530321,-1.0550533577850292,0.35916128019995697,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,theta_alpha_temporal_ratio,22,0.01309926931025855,-0.005683186916459304,0.1734098844816814,-0.11748518677636594,0.08986828666364172,10,12,0,0.45454545454545453,0.5454545454545454,negative,unstable
remember,delta_frontoparietal_diff,22,-0.34296093743026723,-0.00022057409018347122,1.7157861910067564,-0.4222437556506443,0.22950041536402868,10,12,0,0.45454545454545453,0.5454545454545454,negative,unstable
remember,theta_frontoparietal_diff,22,0.0686777484626519,0.003357673177861703,0.6261271871967492,-0.0472180543270892,0.06151783027957386,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,theta_frontoparietal_ratio,22,0.007720534430698076,0.007864882159188347,0.07862007223929308,-0.021198005038427614,0.020289659869889343,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,alpha_frontoparietal_diff,22,0.07655831798500602,8.974552948826765e-05,0.43189096981602715,-0.07672894890891374,0.1937850613334654,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,alpha_frontoparietal_ratio,22,0.0008256869635276438,-0.004217689339467173,0.03713984122373121,-0.016862584751428406,0.028503236067238452,10,12,0,0.45454545454545453,0.5454545454545454,negative,unstable
remember,beta_frontoparietal_diff,22,-0.0016036589717724281,0.0005273669485691284,0.045142419108704125,-0.016562771376701778,0.012819495372290426,12,10,0,0.5454545454545454,0.45454545454545453,positive,unstable
remember,delta_abs,22,-0.13966974178505445,0.00172551434556807,1.5893247513603754,-0.11652271319729657,0.4028466672875588,11,11,0,0.5,0.5,positive,unstable
remember,alpha_beta_ratio,22,-0.07199872527311771,0.00013896689061665413,0.4833907313441115,-0.22907794997417463,0.25124812811560315,11,11,0,0.5,0.5,positive,unstable
remember,theta_occipital,22,-0.09982781532565516,-6.730889663963225e-06,0.8112320812170551,-0.11492241266627234,0.10672488308524569,11,11,0,0.5,0.5,negative,unstable
remember,alpha_occipital,22,-0.1501849283034301,-5.3682311186815945e-05,0.703772979596175,-0.3880095342134472,0.08752423052067312,11,11,0,0.5,0.5,negative,unstable
remember,alpha_beta_frontal_ratio,22,-0.03406312705777374,-0.003994930928231888,0.5045118460705217,-0.2380233693294711,0.18765599105561093,11,11,0,0.5,0.5,negative,unstable
remember,alpha_beta_central_ratio,22,-0.010642743158839084,-0.0057098000481596856,0.6843480882409403,-0.2244076786250856,0.19801908782765343,11,11,0,0.5,0.5,negative,unstable
remember,theta_alpha_occipital_ratio,22,0.04398869136715972,-0.002487789944161767,0.20508015893748793,-0.07303948807903748,0.13191665914983558,11,11,0,0.5,0.5,negative,unstable
remember,delta_frontoparietal_ratio,22,0.003890780856114919,0.0057714745638952625,0.09032735031158855,-0.043797276577017596,0.05439724251713607,11,11,0,0.5,0.5,positive,unstable
